Icons,Arantes Nascimento Edson,Icons,Brazil,CAM,Icon,7M
Icons,Diego Maradona,Icons,Argentina,CAM,Icon,3.39M
Icons,Nazário de Lima Ronaldo Luís,Icons,Brazil,ST,Icon,9.15M
Icons,Arantes Nascimento Edson,Icons,Brazil,CF,Icon,4.13M
Icons,Diego Maradona,Icons,Argentina,CAM,Icon,2.25M
FC Barcelona,Lionel Messi,LaLiga Santander,Argentina,CF,CL,1.35M
Juventus,C. Ronaldo dos Santos Aveiro,Serie A TIM,Portugal,ST,CL,3.1M
FC Barcelona,Lionel Messi,LaLiga Santander,Argentina,RW,TOTGS,1.57M
Icons,Paolo Maldini,Icons,Italy,CB,Icon,2.84M
Icons,Nazário de Lima Ronaldo Luís,Icons,Brazil,ST,Icon,6.2M
Icons,Lev Yashin,Icons,Russia,GK,Icon,854K
Icons,de Assis Moreira Ronaldo,Icons,Brazil,LW,Icon,4.3M
Juventus,C. Ronaldo dos Santos Aveiro,Serie A TIM,Portugal,ST,Normal,2.42M
FC Barcelona,Lionel Messi,LaLiga Santander,Argentina,CF,Normal,887K
Icons,Johan Cruyff,Icons,Holland,CF,Icon,4.38M
Juventus,C. Ronaldo dos Santos Aveiro,Serie A TIM,Portugal,ST,OTW,3.79M
Paris Saint-Germain,Neymar da Silva Santos Jr.,Ligue 1 Conforama,Brazil,CAM,TOTGS,2.73M
Icons,Marco van Basten,Icons,Holland,ST,Icon,1.41M
Icons,Lothar Matthäus,Icons,Germany,CM,Icon,2.88M
Icons,George Best,Icons,Northern Ireland,RW,Icon,2.03M
Icons,Ruud Gullit,Icons,Holland,CF,Icon,6.35M
Icons,Franco Baresi,Icons,Italy,CB,Icon,719K
Icons,Thierry Henry,Icons,France,ST,Icon,3.5M
Icons,Roberto Baggio,Icons,Italy,CAM,Icon,1.25M
Icons,Eusébio da Silva Ferreira,Icons,Portugal,CF,Icon,5.27M
Paris Saint-Germain,Neymar da Silva Santos Jr.,Ligue 1 Conforama,Brazil,LW,CL,869K
Paris Saint-Germain,Neymar da Silva Santos Jr.,Ligue 1 Conforama,Brazil,LF,IF,1.01M
Chelsea,Eden Hazard,Premier League,Belgium,LW,PL-POTM,0
Icons,Carles Puyol Saforcada,Icons,Spain,CB,Icon,850K
Icons,Luís Filipe Madeira Caeiro Figo,Icons,Portugal,RW,Icon,1.74M
Icons,Alessandro Del Piero,Icons,Italy,CF,Icon,1.56M
Icons,Gary Lineker,Icons,England,ST,Icon,1.02M
Icons,Bobby Moore,Icons,England,CB,Icon,729K
Icons,Emilio Butragueño Santos,Icons,Spain,ST,Icon,1.88M
Icons,Fabio Cannavaro,Icons,Italy,CB,Icon,1.01M
Icons,Ruud van Nistelrooy,Icons,Holland,ST,Icon,1.13M
Icons,Paolo Maldini,Icons,Italy,CB,Icon,1.72M
Icons,Ryan Giggs,Icons,Wales,LM,Icon,770K
Icons,Javier Zanetti,Icons,Argentina,RB,Icon,953K
Icons,Dennis Bergkamp,Icons,Holland,CF,Icon,1.36M
Icons,Alessandro Nesta,Icons,Italy,CB,Icon,780K
Icons,Peter Schmeichel,Icons,Denmark,GK,Icon,690K
Icons,Hristo Stoichkov,Icons,Bulgaria,ST,Icon,2.19M
Manchester City,Kevin De Bruyne,Premier League,Belgium,CAM,CL,605K
FC Barcelona,Luis Suárez,LaLiga Santander,Uruguay,ST,CL,422K
Real Madrid,Sergio Ramos García,LaLiga Santander,Spain,CB,CL,525K
Real Madrid,Luka Modric,LaLiga Santander,Croatia,CM,CL,192K
Paris Saint-Germain,Neymar da Silva Santos Jr.,Ligue 1 Conforama,Brazil,LW,Normal,686K
Chelsea,Eden Hazard,Premier League,Belgium,LW,IF,689K
Icons,Rivaldo Vítor Borba Ferreira,Icons,Brazil,LW,Icon,1.19M
Icons,Raúl González Blanco,Icons,Spain,CF,Icon,2.23M
Manchester United,David De Gea Quintana,Premier League,Spain,GK,CL,325K
